YEAR,MONTH,DAY,HOUR,MINUTE,LATITUDE,LONGITUDE,LOCATION_NAME,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY
1653,7,,,,13.1,121.6,SIBUYAN SEA,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,,,1
1744,,,,,17,121,N. LUZON ISLAND,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,,,1
1725,3,27,,,-16.6,-72.7,S. PERU,PERU,West Coast of South America,Earthquake,Questionable Tsunami,,50,1.5
1642,9,4,,,35.2,140.6,"BOSO, JAPAN",JAPAN,Japan,Earthquake,Definite Tsunami,6.7,,1
1332,2,12,,,40.9,28.9,CONSTANTINOPLE,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,6.8,,3
1667,,,,,25,125.5,"MIYAKOJIMA, JAPAN",JAPAN,Japan,Earthquake,Definite Tsunami,6.7,,1
1509,6,17,,,31.5,121.5,SOUTH CHINA SEA,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,,,0
1738,7,19,,,36.8,24.4,"MILOS ISLAND, AEGEAN ISLANDS",GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,6.5,,3
1732,12,4,,,35.2,140.8,"KUJUKURI BEACH, JAPAN",JAPAN,Japan,Earthquake,Probable Tsunami,6.5,,1
1732,2,25,,,16.8,-99.9,S. MEXICO,MEXICO,West Coast of North and Central America,Earthquake,Probable Tsunami,,,1.5
1715,8,23,0,,-17.3,-70.8,PERU,PERU,West Coast of South America,Earthquake,Probable Tsunami,7.5,80,
1711,12,20,,,34.3,134,"SEIONAIKAI, JAPAN",JAPAN,Japan,Earthquake,Definite Tsunami,6.7,,1
1710,3,6,,,-4.53,129.9,BANDA SEA,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,,,1.5
1708,11,28,,,-3.69,128.15,BANDA SEA,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,,,2
1708,2,13,,,34,137,TOKAIDO,JAPAN,Japan,Earthquake,Definite Tsunami,7,,1
1700,9,12,,,36.5,126.5,YELLOW SEA,SOUTH KOREA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,6.5,,1
1698,12,22,,,33.3,131.7,SEIKAIDO-NANKAIDO,JAPAN,Japan,Earthquake,Definite Tsunami,6.4,,
1687,7,12,,,-32.8,-70.7,CENTRAL CHILE,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.5,,
1675,3,,,,13,121,SULU SEA,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,,,1
1674,5,6,,,-3.7,128.2,BANDA SEA,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,6,,0
1673,8,12,,,1.375,127.52,N. MOLUCCAS ISLANDS,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Volcano,Probable Tsunami,,,1
1672,4,,,,40,26,ISLAND OF TENEDOS,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,6.5,,
1670,12,17,,,35.5,141,"BOSO, JAPAN",JAPAN,Japan,Earthquake,Definite Tsunami,6.4,,1
1661,1,8,,,23,120.1,SOUTH CHINA SEA,TAIWAN,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,6,,1.5
1657,12,,,,-3,128,BANDA SEA,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Questionable Tsunami,,,1
1649,12,9,,,35.5,126,YELLOW SEA,SOUTH KOREA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,6.5,,1
1646,4,5,,,41.04,28.98,MARMARA SEA,TURKEY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,4
1643,7,25,,,35.5,129.5,SEA OF JAPAN,SOUTH KOREA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,6.5,,1
1640,9,16,,,23,117,SOUTH CHINA SEA,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,,,2
1629,8,1,,,-4.6,129.9,BANDA SEA,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,,,3
1627,9,14,,,18.4,121.6,W. LUZON ISLAND,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Probable Tsunami,8,,3.5
1619,5,1,,,32.5,130.6,"YATSUSHIRO, JAPAN",JAPAN,Japan,Earthquake,Definite Tsunami,6.4,,
1520,4,4,,,33.6,136.3,"KII, KUMANANONADA",JAPAN,Japan,Earthquake,Definite Tsunami,7,,1
1510,9,21,,,34.6,135.4,OSAKA BAY,JAPAN,Japan,Earthquake,Definite Tsunami,6.7,,1
1448,9,19,,,37.5,138.2,"SADO, JAPAN",JAPAN,Japan,Earthquake,Probable Tsunami,7,,2
1433,11,7,,,34.9,139.5,OFF IZU-OSHIMA,JAPAN,Japan,Earthquake,Definite Tsunami,7.1,,1
1408,1,21,,,33.8,136.9,KUMANONADA,JAPAN,Japan,Earthquake,Definite Tsunami,7,,1
1403,12,,,,33.7,136.5,KUMANONADA,JAPAN,Japan,Earthquake,Definite Tsunami,7,,1
1331,8,15,,,33.7,135.2,"OFF TANABE, WAKAYAMA PREFECTURE",JAPAN,Japan,Earthquake,Definite Tsunami,7,,
1257,10,9,,,35.2,139.5,"SAGAMI BAY, JAPAN",JAPAN,Japan,Earthquake,Definite Tsunami,7,,1
1257,10,9,,,39,144,OFF SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,7.5,,2
1241,5,22,,,35.2,139.4,"KAMAKURA, SAGAMI BAY",JAPAN,Japan,Earthquake,Definite Tsunami,7,,1
1222,5,,,,34.5,33,CYPRUS ISLAND,CYPRUS,Mediterranean Sea,Earthquake,Probable Tsunami,6.6,,4
1769,8,29,,,32.3,132,SW. KYUSHU ISLAND,JAPAN,Japan,Earthquake,Definite Tsunami,7.4,,1
1768,7,22,,,26.2,127.5,RYUKYU ISLANDS,JAPAN,Japan,Earthquake,Definite Tsunami,6.5,,1
1768,6,22,,,-4.85,152.8,"CAPE SAINT GEORGE, NEW IRELAND",PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.5,,1
1767,11,22,,,22.2,113.55,SOUTH CHINA SEA,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,,,2
1763,3,11,,,41,142.5,N. SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,7.8,,1
1762,10,31,5,,38.1,138.7,NW. HONSHU ISLAND,JAPAN,Japan,Earthquake,Definite Tsunami,6.6,,1
1754,9,7,,,-3.5,128.5,BANDA SEA,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Questionable Tsunami,,,0
1754,8,18,,,-3.5,128.5,BANDA SEA,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,6.5,,0
1750,,,,,18.8,93.633,MYANMAR (BURMA) COAST,MYANMAR (BURMA),Indian Ocean (including west coast of Australia),Earthquake,Very Doubtful Tsunami,,,4
1088,6,10,,,40.5,143,"MIYAKO, IWATE PREFECTURE",JAPAN,Japan,Earthquake,Definite Tsunami,7,,1.5
922,,,,,33.8,136.7,KUMANONADA,JAPAN,Japan,Earthquake,Definite Tsunami,7,,1
850,11,27,,,39,139.9,NW. HONSHU ISLAND,JAPAN,Japan,Earthquake and Landslide,Definite Tsunami,7,,1
803,12,19,,,36.95,35.6,GULF OF ISKENDERUN,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,,,3
704,8,2,,,33.8,136.7,KUMANONADA,JAPAN,Japan,Earthquake,Definite Tsunami,7,,2
701,5,12,,,35.7,135.4,SEA OF JAPAN,JAPAN,Japan,Earthquake,Definite Tsunami,7,,1
447,1,26,,,40.9,28.5,MARMARA SEA,TURKEY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,7.3,,4
173,6,28,,,37.5,120,"LAIZHOU BAY, BOHAI SEA",CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,,,1
142,,,,,36.7,28,DODECANESE ISLANDS,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,7,,4
62,,,,,35.2,25.1,CRETE,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,6.9,,3
1766,10,21,9,,10.47,-64.17,CUMANA,VENEZUELA,Caribbean Sea,Earthquake,Very Doubtful Tsunami,7.5,,
1763,1,29,9,,40.8,142,SANRIKU,JAPAN,Japan,Earthquake,Probable Tsunami,7.4,,2
1759,10,30,,,33,35.5,AKKO,ISRAEL,Mediterranean Sea,Earthquake,Questionable Tsunami,,,4
1754,9,1,7,0,16.8,-99.2,S. MEXICO,MEXICO,West Coast of North and Central America,Earthquake,Probable Tsunami,,,2
1751,10,18,19,,18.5,-70.7,AZUA  DE COMPOSTELA,DOMINICAN REPUBLIC,Caribbean Sea,Earthquake,Probable Tsunami,7.3,,
1742,11,18,,,51.5,157,N. KURIL ISLANDS,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Probable Tsunami,7,,1.5
1737,12,24,,,-43,-74,SOUTHERN CHILE,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,8,,
1723,2,18,2,,38.5,20.5,IONIAN SEA,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,7,,3
1705,11,26,,,-18.6,-70.2,NORTHERN CHILE,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,,,3
1690,4,16,,,17.5,-61.5,ANTIGUA; SAINT KITTS AND NEVIS,ANTIGUA AND BARBUDA,Caribbean Sea,Earthquake,Definite Tsunami,8,,
1688,7,10,11,45,38.4,26.9,IZMIR,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,7,,2
1681,3,10,,,-18.5,-70.35,NORTHERN CHILE,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.5,,
1678,6,18,1,45,-9,-79,CENTRAL PERU,PERU,West Coast of South America,Earthquake,Probable Tsunami,8.4,40,2.5
1677,12,7,11,30,14.5,120.5,W. LUZON ISLAND,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,,,1
1672,,,,,36.5,25.5,THIRA ISLAND &  CYCLADE ISLANDS,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,1
1668,7,25,,,35.3,118.6,"TANCHENG, SHANDONG PROVINCE",CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Probable Tsunami,8.5,,
1668,7,10,,,38.4,27.1,"SMYRNA, W. TURKEY",TURKEY,Mediterranean Sea,Earthquake,Probable Tsunami,6.6,,2
1667,4,6,7,10,42.6,18.1,DALMATIAN COASTS,CROATIA,Mediterranean Sea,Earthquake,Questionable Tsunami,7.2,,4
1645,11,30,12,,14.4,121,W. LUZON ISLAND,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,8,,
1633,11,5,,,37.6,21,ISLAND OF ZAKYNTHOS,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,6.9,,3
1633,3,1,,,35.2,139.2,SAGAMI BAY,JAPAN,Japan,Earthquake,Definite Tsunami,7.1,,1
1622,5,5,,,37.6,21,ISLAND OF ZAKYNTHOS,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,6.6,,
1615,9,16,,,-18.5,-70.35,NORTHERN CHILE,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,7.5,,1.5
1590,,,,,-17.2,-72.9,S. PERU,PERU,West Coast of South America,Earthquake,Questionable Tsunami,7.7,,1.5
1586,7,10,0,30,-12.3,-77.7,CENTRAL PERU,PERU,West Coast of South America,Earthquake,Definite Tsunami,8.5,60,3.5
1580,4,6,,,51.019,1.309,"DOVER STRAITS, ENGLAND",UK,Northeast Atlantic Ocean,Earthquake,Event that only caused a seiche or disturbance in an inland river,6.2,33,
1531,1,26,,,38.7,-9.1,"TAGUS RIVER, LISBON",PORTUGAL,Northeast Atlantic Ocean,Earthquake,Definite Tsunami,7.7,,
1511,3,26,,,46.2,13.433,NORTH ADRIATIC,ITALY,Mediterranean Sea,Earthquake,Questionable Tsunami,6.5,10,3
1509,9,10,,,40.8,28.1,MARMARA SEA,TURKEY,Mediterranean Sea,Earthquake,Probable Tsunami,7.7,,3
1508,5,29,,,35,25.5,ISLAND OF CRETE,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,7.1,,3
1389,3,20,,,38.4,26.3,"CHIOS ISLAND, AEGEAN ISLANDS",GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,6.8,,3
1202,5,20,,,33.5,36,SOUTHWESTERN SYRIA,SYRIA,Mediterranean Sea,Earthquake and Landslide,Definite Tsunami,7.6,,5
1096,12,17,,,34,137.5,ENSHUNADA,JAPAN,Japan,Earthquake,Definite Tsunami,8.4,,2
746,1,18,,,32,35.5,SYRIAN and EGYPTIAN COASTS,SYRIA,Mediterranean Sea,Earthquake,Questionable Tsunami,7,,3
740,10,26,,,40.7,29.3,MARMARA SEA,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,7.3,,3
558,12,14,,,40.9,28.8,"MARMARA SEA, STRAIT OF BOSPORUS",TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,7,,
551,7,9,,,40.8,29.9,LEVANTIAN SEA,TURKEY,Mediterranean Sea,Earthquake,Definite Tsunami,7.8,,3
362,5,24,,,31.3,35.6,DEAD SEA,JORDAN,Mediterranean Sea,Earthquake,Questionable Tsunami,,,3
348,,,,,33.9,35.5,LEVANTIAN SEA,TURKEY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,4.1,,3
76,6,20,,,34.8,32,LEVANTIAN SEA,CYPRUS,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,6.3,,4
1664,,,,,27.85,128.25,"TORISHIMA, RYUKYU ISLANDS",JAPAN,Japan,Volcano,Definite Tsunami,,,1
1076,10,31,,,23,117,"GUANGDONG PROVINCE, SOUTH CHINA SEA",CHINA,"China, North and South Korea, Philippines, Taiwan",Unknown,Very Doubtful Tsunami,,,1
1608,7,1,,,0.8,127.325,"GAMALAMA, TERNATE ISLAND",INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Volcano,Probable Tsunami,,,1.5
1700,1,27,5,0,45,-125,CASCADIA SUBDUCTION ZONE,USA,West Coast of North and Central America,Earthquake,Definite Tsunami,9,,
1763,9,12,,,-6,130,BANDA SEA,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,,,2.5
1711,9,5,,,-4,129,BANDA SEA,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,7,,1.5
1737,10,16,16,0,51.1,158,KAMCHATKA,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,,,4
1668,7,31,,,38,126,YELLOW SEA,NORTH KOREA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,6.4,,1.5
1647,5,7,,,-15.5,-75,S. PERU,PERU,West Coast of South America,Earthquake,Questionable Tsunami,,,2
1633,5,14,,,-41.8,-73.8,SOUTHERN CHILE,CHILE,West Coast of South America,Earthquake,Probable Tsunami,,,1.5
1597,9,10,,,33.3,131.6,"BEPPU BAY, JAPAN",JAPAN,Japan,Earthquake and Landslide,Probable Tsunami,6.4,,1
1730,7,8,8,45,-32.5,-71.5,CENTRAL CHILE,CHILE,West Coast of South America,Earthquake,Definite Tsunami,9.1,,3.5
1677,4,13,,,40,144,SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,8.1,,2
1657,3,15,23,30,-36.83,-73.03,CENTRAL CHILE,CHILE,West Coast of South America,Earthquake,Probable Tsunami,8,,2.5
1604,11,24,18,30,-17.88,-70.94,S. PERU,PERU,West Coast of South America,Earthquake,Definite Tsunami,8.5,30,3.5
1033,12,5,,,33,35,AKKO,SYRIA,Mediterranean Sea,Earthquake,Definite Tsunami,,,4
1666,5,31,,,35,136.8,AICHI PREFECTURE,JAPAN,Japan,Earthquake,Probable Tsunami,6.4,,1
1751,5,25,5,30,-37,-73,CENTRAL CHILE,CHILE,West Coast of South America,Earthquake,Definite Tsunami,8.5,,3.5
-2000,,,,,35.683,35.8,SYRIAN COASTS,SYRIA,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,6
416,,,,,-6.102,105.423,JAVA-S. JAVA,INDONESIA,Indian Ocean (including west coast of Australia),Volcano,Questionable Tsunami,,,3.5
262,,,,,36.6,30,SOUTH COASTS OF ASIA MINOR,TURKEY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,4
766,7,20,,,31.6,130.7,N. KAGOSHIMA BAY,JAPAN,Japan,Volcano,Definite Tsunami,6.5,,1.5
1589,3,21,,,34.8,138.2,"SURUGA, JAPAN",JAPAN,Japan,Earthquake,Definite Tsunami,6.7,,1
1670,8,19,,,33,122.5,EAST CHINA SEA,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,6.8,,1.5
1735,12,27,,,15.8,121.7,E. LUZON ISLAND,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,,,1.5
1360,11,22,,,33.4,136.2,KUMANONADA,JAPAN,Japan,Earthquake,Definite Tsunami,7,,2
1726,4,1,,,36.3,136,KATSUYAMA,JAPAN,Japan,Earthquake,Definite Tsunami,6.6,,1
1662,10,30,14,,31.7,132,HIUGANADA,JAPAN,Japan,Earthquake,Definite Tsunami,7.6,,2.5
1644,10,18,,,39.4,140.1,"HONJO, AKITA",JAPAN,Japan,Earthquake,Definite Tsunami,6.9,,1
1616,12,6,,,39,144.5,SANRIKU,JAPAN,Japan,Earthquake,Questionable Tsunami,7.5,,1
1602,2,8,,,35.1,140.5,"BOSO, JAPAN",JAPAN,Japan,Earthquake and Landslide,Definite Tsunami,7.2,,1
1586,1,18,,,35,136.8,ISE BAY,JAPAN,Japan,Earthquake,Definite Tsunami,8.2,,1
1303,8,8,,,35,27,AEGEAN SEA,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,8,,4
818,8,,,,35.2,139.3,TOKAIDO,JAPAN,Japan,Earthquake and Landslide,Definite Tsunami,7.9,,1
745,6,9,,,34.6,135.3,"OSAKA BAY, JAPAN",JAPAN,Japan,Earthquake,Probable Tsunami,6.5,,1
554,8,15,,,36.8,27.3,ISLAND OF KOS,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,7,,4
543,,,,,40.3,27.8,BLACK SEA,TURKEY,Mediterranean Sea,Earthquake,Probable Tsunami,6.8,,4
-426,6,,,,38.9,22.7,CORINTHOS-PATRAS GULF,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,7.1,,5
-1610,,,,,36.4,25.4,THERA ISLAND (SANTORINI),GREECE,Mediterranean Sea,Volcano,Definite Tsunami,,,6
1763,3,15,,,40.7,142,"SANRIKU, HACHIONHE",JAPAN,Japan,Earthquake,Definite Tsunami,7.1,,1
1748,5,14,,,38.3,22.1,CORINTHOS-PATRAS GULF,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,6.8,,3
1677,11,4,,,35,141.5,OFF SE. BOSO PENINSULA,JAPAN,Japan,Earthquake,Definite Tsunami,7.4,,3
1640,7,31,,,42.07,140.68,SE. HOKKAIDO ISLAND,JAPAN,Japan,Volcano,Definite Tsunami,6.5,,1
1616,9,9,,,38.1,142,MIYAGI PREFECTURE,JAPAN,Japan,Earthquake,Definite Tsunami,7,,1
1614,11,26,,,37.5,138,NIIGATA PREFECTURE,JAPAN,Japan,Earthquake,Definite Tsunami,7.7,,1
1596,9,4,,,33.3,131.7,"BEPPU BAY, KYUSHU",JAPAN,Japan,Earthquake and Landslide,Definite Tsunami,6.9,,2
1562,10,28,10,,-38.7,-73.5,SOUTHERN CHILE,CHILE,West Coast of South America,Earthquake,Probable Tsunami,8,,3.5
1546,1,14,,,32,35.5,GAZA - JAFFA,ISRAEL,Mediterranean Sea,Earthquake,Probable Tsunami,6.5,,3
1495,9,12,,,35.1,139.5,"KAMAKURA, SAGAMI BAY, TOKAIDO",JAPAN,Japan,Earthquake,Definite Tsunami,7.1,,2
1481,5,3,,,36,28,ISLAND OF RHODES,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,7.1,,3
1361,8,3,,,33,135,NANKAIDO,JAPAN,Japan,Earthquake,Definite Tsunami,8.4,,3
1068,3,18,,,29.5,34.95,GULF OF AQABA,ISRAEL,Red Sea and Persian Gulf,Earthquake,Probable Tsunami,,,4
887,8,26,,,33,135.3,NANKAIDO,JAPAN,Japan,Earthquake,Definite Tsunami,8.6,,3
869,7,13,,,38.5,143.8,SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,8.6,,4
684,11,29,,,32.5,134,NANKAIDO,JAPAN,Japan,Earthquake,Definite Tsunami,8.4,,1
-479,,,,,39.7,23.3,NORTH AEGEAN,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,7,,3
-373,,,,,38.25,22.25,CORINTHOS-PATRAS GULF,GREECE,Mediterranean Sea,Earthquake and Landslide,Definite Tsunami,7.3,,5
365,7,21,,,35,23,CRETE,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,8,70,4
1570,2,8,13,,-36.75,-73,CENTRAL CHILE,CHILE,West Coast of South America,Earthquake,Probable Tsunami,8.3,,3
1575,12,16,18,30,-39.8,-73.2,SOUTHERN CHILE,CHILE,West Coast of South America,Earthquake,Probable Tsunami,8.5,,2.5
1605,2,3,,,33,134.9,NANKAIDO,JAPAN,Japan,Earthquake,Definite Tsunami,7.9,,3
1611,12,2,,,39,144.5,SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,8.1,,4
1687,10,20,10,30,-13.5,-76.5,S. PERU,PERU,West Coast of South America,Earthquake,Definite Tsunami,8.5,30,3.5
1692,6,7,,,17.8,-76.7,PORT ROYAL,JAMAICA,Caribbean Sea,Earthquake and Landslide,Definite Tsunami,7.7,,
1703,12,30,17,,34.7,139.8,OFF SW BOSO PENINSULA,JAPAN,Japan,Earthquake,Definite Tsunami,8.2,,3
1707,10,28,5,,33.2,134.8,NANKAIDO,JAPAN,Japan,Earthquake,Definite Tsunami,8.4,,4
1746,10,29,3,30,-11.996,-77.198,CENTRAL PERU,PERU,West Coast of South America,Earthquake,Definite Tsunami,8,30,3.5
1751,5,20,,,37.2,138.1,NW. HONSHU ISLAND,JAPAN,Japan,Earthquake and Landslide,Definite Tsunami,6.6,,1
1755,11,1,9,30,37,-10,LISBON,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Definite Tsunami,8.5,,
